らち	ɾ a t͡ɕ i
じき	d͡ʑ i kʲ i
プラトン	p ɯ ɾ a t õ ɴ
ことは	k o t o h a
いぬはりこ	i n ɯ h a ɾʲ i k o
パップテスト	p a p̚ p ɯ t e s ɨ t o
ソムリエ	s o m ɯ ɾʲ i e
しん	h a t a ɕ ĩ ɴ
てきしゅ	t e kʲ i ɕ ɨ
てがる	t e ɡ a ɾ ɯ
じろう	d͡ʑ i ɾ o
オナペット	o n a p e t̚ t o
ぶし	b ɯ ɕ i
なんこう	n ã ŋ k o
はいき	h a i kʲ i
もうふぶき	m o ɸ ɯ b ɯ kʲ i
とうへんぼく	t o h ẽ m b o k ɯ
だいこん	d a i k õ ɴ
いたる	i t a ɾ ɯ
ねりなおす	n e ɾʲ i n a o s ɨ
はくじんしじょうしゅぎ	h a k ɯ ʑ ĩ ɰ ɕ i ʑ o ɕ ɨ ɡʲ i
ゆうしゃ	j ɯ ɕ a
めじるし	m e ʑ i ɾ ɯ ɕ i
それより	s o ɾ e j o ɾʲ i
オンパレード	õ m p a ɾ e d o
ふうそくけい	ɸ ɯ s o k ɯ k e
エスエル	e s ɨ e ɾ ɯ
カッティング	k a t̚ʲ tʲ ĩ ŋ ɡ ɯ
てんはみずからたすくるものをたすく	t ẽ ɰ ɰ a mʲ i z ɨ k a ɾ a t a s ɨ k ɯ ɾ ɯ m o n o o t a s ɨ k ɯ
たおんじ	t a õ ɲ d͡ʑ i
いちじょ	i t͡ɕ i ʑ o
てぬかり	t e n ɯ k a ɾʲ i
げんだい	ɡ ẽ n d a i
トランペット	t o ɾ ã m p e t̚ t o
スペクトル	s ɨ p e k ɯ t o ɾ ɯ
はいれつ	h a i ɾ e t͡s ɨ
やりくり	j a ɾʲ i k ɯ ɾʲ i
みならう	mʲ i n a ɾ a ɯ
ゆうしんろん	j ɯ ɕ ĩ n ɾ õ ɴ
しぜんてき	ɕ i z ẽ n t e kʲ i
スタイルシート	s ɨ t a i ɾ ɯ ɕ i t o
ようか	j o k a
オー	o
ハブーブ	h a b ɯ b ɯ
ライブラリー	ɾ a i b ɯ ɾ a ɾʲ i
とき	t o kʲ i
ついらく	t͡s ɨ i ɾ a k ɯ
うんぬん	ɯ n ɯ ɴ
ゆらす	j ɯ ɾ a s ɨ
ふくこうかんしんけい	ɸ ɯ k ɯ k o k ã ɰ ɕ ĩ ŋ k e
まかない	m a k a n a i
だるま	d a ɾ ɯ m a
しんらばんしょう	ɕ ĩ n ɾ a b ã ɰ ɕ o
したたか	ɕ i t a t a k a
とにち	t o ɲ i t͡ɕ i
クラファン	k ɯ ɾ a ɸ ã ɴ
どじょう	d o ʑ o
ざとう	d͡z a t o
アセナフテン	a s e n a ɸ ɯ t ẽ ɴ
ぐんぷく	ɡ ɯ m p ɯ k ɯ
りゃくご	ɾʲ a k ɯ ɡ o
ひらめ	ç i ɾ a m e
よふね	j o ɸ ɯ n e
ていしょとくそう	t e ɕ o t o k ɯ s o
なんきんまめ	n ã ŋʲ kʲ ĩ m a m e
ちょくせつ	t͡ɕ o k ɯ s e t͡s ɨ
かくし	k a k ɯ ɕ i
いそ	i s o
エータ	e t a
たみ	t a mʲ i
バレル	b a ɾ e ɾ ɯ
かざかみ	k a z a k a mʲ i
ながさき	n a ɡ a s a kʲ i
はや	h a j a
やこううん	j a k o ɯ ɴ
ちょうがたべん	t͡ɕ o ɡ a t a b ẽ ɴ
ぜったいさいしょくしゅぎしゃ	d͡z e t̚ t a i s a i ɕ o k ɯ ɕ ɨ ɡʲ i ɕ a
まいしゅう	m a i ɕ ɨ
しゅひ	ɕ ɨ ç i
ボータイ	b o t a i
すなお	s ɨ n a o
またぐ	m a t a ɡ ɯ
モガディシュ	m o ɡ a dʲ i ɕ ɨ
ちえぶくろ	t͡ɕ i e b ɯ k ɯ ɾ o
くじらざ	k ɯ ʑ i ɾ a z a
ほうしゃのうおせん	h o ɕ a n o o s ẽ ɴ
ねつけ	n e t͡s ɨ k e
まるで	m a ɾ ɯ d e
せいしょ	s e ɕ o
がんりょう	ɡ ã n ɾʲ o
せんえつ	s ẽ ɰ e t͡s ɨ
にくしん	ɲ i k ɯ ɕ ĩ ɴ
ブルマー	b ɯ ɾ ɯ m a
あいじん	a i ʑ ĩ ɴ
キャラバン	kʲ a ɾ a b ã ɴ
ひがし	ç i ɡ a ɕ i
ショッピング	ɕ o p̚ʲ pʲ ĩ ŋ ɡ ɯ
こくないそうせいさん	k o k ɯ n a i s o s e s ã ɴ
リボフラビン	ɾʲ i b o ɸ ɯ ɾ a bʲ ĩ ɴ
セウト	s e ɯ t o
いしわた	i ɕ i ɰ a t a
かわほりおうぎ	k a ɰ a h o ɾʲ i o ɡʲ i
やんばるくいな	j ã m b a ɾ ɯ k ɯ i n a
ようりょく	j o ɾʲ o k ɯ
ルナール	ɾ ɯ n a ɾ ɯ
ふたば	ɸ ɯ t a b a
きょうにん	kʲ o ɲ ĩ ɴ
だんじょびょうどう	d ã ɲ d͡ʑ o bʲ o d o
やりきる	j a ɾʲ i kʲ i ɾ ɯ
みやぶ	mʲ i j a b ɯ
かぎや	k a ɡʲ i j a
ノーマル	n o m a ɾ ɯ
だぜい	d a z e
やきとり	j a kʲ i t o ɾʲ i
けんさつ	k ẽ ɰ s a t͡s ɨ
たけひこ	t a k e ç i k o
ちばしる	t͡ɕ i b a ɕ i ɾ ɯ
はなれる	h a n a ɾ e ɾ ɯ
みのほど	mʲ i n o h o d o
フェアユース	ɸ e a j ɯ s ɨ
えいれい	e ɾ e
じゅうぞく	d͡ʑ ɨ z o k ɯ
ながれこむ	n a ɡ a ɾ e k o m ɯ
こくひょう	k o k ɯ ç o
きんぺいばい	kʲ ĩ m p e b a i
こうかんしんけい	k o k ã ɰ ɕ ĩ ŋ k e s e t͡s ɨ
きをおとす	kʲ i o o t o s ɨ
わかす	ɰ a k a s ɨ
うこっけい	ɯ k o k̚ k e
ラズベリー	ɾ a z ɨ b e ɾʲ i
あまいろ	a m a i ɾ o
ぎんこう	ɡʲ ĩ ŋ k o
さいろく	s a i ɾ o k ɯ
けものみち	k e m o n o mʲ i t͡ɕ i
ジャック	d͡ʑ a k̚ k ɯ
きせい	kʲ i s e
しょくえん	ɕ o k ɯ ẽ ɴ
おとこまさり	o t o k o m a s a ɾʲ i
きゅうげき	kʲ ɨ ɡ e kʲ i
イ	i
ふらの	ɸ ɯ ɾ a n o
ティースプーン	tʲ i s ɨ p ɯ ɴ
むぎょう	m ɯ ɡʲ o
フェレット	ɸ e ɾ e t̚ t o
とうちゃん	t o t͡ɕ ã ɴ
このたび	k o n o t a bʲ i
わがし	ɰ a ɡ a ɕ i
かぶとむし	k a b ɯ t o m ɯ ɕ i
キャンプサイト	kʲ ã m p ɯ s ḁ i t o
ししゃく	ɕ i ɕ a k ɯ
スキャンダル	s ɨ kʲ ã n d a ɾ ɯ
エルシーディー	e ɾ ɯ ɕ i dʲ i
ふぁぼ	ɸ a b o
はだかまいり	h a d a k a m a i ɾʲ i
ぶき	b ɯ kʲ i
クリスマスツリー	k ɯ ɾʲ i s ɨ m a s ɨ  t͡s ɨ ɾʲ i
なおる	n a o ɾ ɯ
コンマ	k õ m a
スカトロ	s ɨ k a t o ɾ o
オストメイト	o s ɨ t o m e t o
ライフサイクル	ɾ a i ɸ ɯ s a i k ɯ ɾ ɯ
エーディーエスエル	e dʲ i e s ɨ e ɾ ɯ
バックミラー	b a k̚ k ɯ mʲ i ɾ a
れつご	ɾ e t͡s ɨ ɡ o
きょういくがく	kʲ o i k ɯ ɡ a k ɯ
