ㅇㅚㅎㅏㄹㅁㅓㄴㅣ	w e ɦ a ɭ m ʌ n i
ㅁㅣㄹㄹㅏㅂ	m i ɭ ɭ a p̚
ㅅㅏㄹㅏㅇㅎㅏㄷㅏ	sʰ a ɾ a ŋ ɦ a d a
ㅇㅣㄱㅛ	i ɡ j o
ㅂㅗㄱㄹㅣ	p o ŋ n i
ㄷㅓㅅㄱㅡㄹ	t ʌ t̚ k ɯ ɭ
ㄴㅏㄹ	n a ɭ
ㅋㅏㅁㅔㄹㅜㄴ	kʰ a m e ɾ u n
ㅇㅜㄱㅏㄴㄷㅏ	u ɡ a n d a
ㄱㅓㄱㅈㅓㅇㅎㅏㄷㅏ	k ʌ k̚ t͡ɕ ʌ ŋ ɦ a d a
ㄱㅏㄱㅂㅗㄴ	k a k̚ p o n
ㅁㅜㄴㅇㅓ	m u n ʌ
ㅂㅗㄴㄸㅡㄷㅏ	p o n t ɯ d a
ㅌㅡㄱㅅㅜ	tʰ ɯ k s u
ㄱㅠㅊㅣㄱㅈㅓㄱ	k j u t͡ɕʰ i k̚ t͡ɕ ʌ k̚
ㅁㅗㄷㅡㅁ	m o d ɯ m
ㅈㅓㅂㅅㅗㄱ	t͡ɕ ʌ p s o k̚
ㅈㅜㅈㅓㅇ	t͡ɕ u d͡ʑ ʌ ŋ
ㅅㅣㅇㄱㅓㅂㄷㅏ	ɕʰ i ŋ ɡ ʌ p̚ t a
ㅂㅜㄱㄱㅚ	p u k̚ k w e
ㅁㅔㅌㅗㄲㅣ	m e tʰ o k i
ㅎㅘㅅㅏㄴㅎㅏㄱ	ɸ w a sʰ a n ɦ a k̚
ㄴㅓㅁㅜ	n ʌ m u
ㄸㅔㄴㄴㅗ	t e n n o
ㅇㅏㅎㅡㄹㅔ	a ɣ ɯ ɾ e
ㅁㅐㅇㅅㅔ	m ɛ ŋ sʰ e
ㅁㅣㄹㄷㅏ	m i ɭ d a
ㄱㅘㄴㄴㅕㅁ	k w a n ɲ j ʌ m
ㅅㅜㄴㄱㅛ	sʰ u n ɡ j o
ㄱㅘㅎㅏㄱㅈㅏ	k w a ɦ a k̚ t͡ɕ a
ㅂㅏㄱㅇㅣ	p a ɡ i
ㅈㅏㅂㅅㅜㅅㅣㄷㅏ	t͡ɕ a p s u ɕʰ i d a
ㅎㅗㄴㅈㅏ	ɸʷ o ɲ d͡ʑ a
ㄴㅚ	n w e
ㄹㅏㅂㅗㄲㅇㅣ	ɾ a b o k i
ㅇㅣㄱㅅㅏㄹ	i k s a ɭ
ㄷㅜㅅㅔㅅ	t u sʰ e t̚
ㄱㅡㄹㅔㅇㅣㅌㅡㅂㅡㄹㅣㅌㅡㄴ	k ɯ ɾ e i tʰ ɯ b ɯ ɾ i tʰ ɯ n
ㅇㅣㄱㅣㅈㅜㅇㅢ	i ɡ i d͡ʑ u ɰ i
ㅁㅕㄹㅈㅗㅇ	m j ʌ ʎ t͡ɕ o ŋ
ㅇㅗㄱㅈㅏㅁㅎㅘ	o k̚ t͡ɕ a m β w a
ㅇㅓㅂㄷㅜㅇㅇㅣ	ʌ p̚ t u ŋ i
ㅇㅠㄹㅣ	j u ɾ i
ㅁㅗㄱㅈㅓㄱㄹㅗㄴ	m o k̚ t͡ɕ ʌ ŋ n o n
ㅈㅓㄹㄷㅏ	t͡ɕ ɘ ɭ d a
ㄷㅐㄹㅣㅅㅓㄱ	t ɛ ɾ i sʰ ʌ k̚
ㅎㅏㄴㄲㅓㅂㅓㄴㅇㅔ	h a n k ʌ b ʌ n e
ㅌㅡㄱㄱㅝㄴ	tʰ ɯ k̚ k w ʌ n
ㅍㅡㄹㄹㅜㅌㅗㄴㅠㅁ	pʰ ɯ ɭ ɭ u tʰ o ɲ j u m
ㄱㅘㄴㄹㅕㄴㅎㅏㄷㅏ	k w a ʎ ʎ j ʌ n ɦ a d a
ㄴㅗㅇㄱㅕㅇ	n o ŋ ɡ j ʌ ŋ
ㅍㅜㄹㅇㅗㅂㅓ	pʰ u ɾ o b ʌ
ㅍㅔㅅㅑㅇㅘㄹㅡ	pʰ e ɕʰ a w a ɾ ɯ
ㅅㅡㅂㄷㅗ	sʰ ɯ p̚ t o
ㅁㅏㅇㅛㄴㅔㅈㅡ	m a j o n e d͡ʑ ɯ
ㅁㅜㅈㅜㅇㄹㅕㄱ	m u d͡ʑ u ŋ ɲ j ʌ k̚
ㄴㅜㄴㄷㅜㄷㅓㅇ	n u n d u d ʌ ŋ
ㅂㅕㄴㅇㅏㅂㄱㅣ	p j ʌ n a p̚ k i
ㄱㅣㄹㅡㅁ	k i ɾ ɯ m
ㅇㅚㄱㅜㄱㅇㅓ	w e ɡ u ɡ ʌ
ㅍㅡㄹㄹㅏㅅㅡㅁㅏ	pʰ ɯ ɭ ɭ a sʰ ɯ m a
ㅂㅡㄹㅔㅇㅣㅋㅡ	p ɯ ɾ e i k x ɯ
ㅎㅘㄹㄷㅗㅇㅈㅓㄱ	ɸ w a ɭ t o ŋ d͡ʑ ʌ k̚
ㅋㅏㄷㅣㄱㅓㄴ	kʰ a d i ɡ ʌ n
ㄱㅏㄱㅗㅇㅎㅏㄷㅏ	k a ɡ o ŋ ɦ a d a
ㅁㅜㅅㅏㄷㅗ	m u sʰ a d o
ㄱㅣㄹㅡㅁㅅㅏㅌㅏㅇ	k i ɾ ɯ m sʰ a tʰ a ŋ
ㄴㅏㅅㅗ	n a sʰ o
ㅅㅣㄹㅈㅔㄹㅗ	ɕʰ i ʎ t͡ɕ e ɾ o
ㅊㅓㅂㅏㅇㅈㅓㄴ	t͡ɕʰ ɘ b a ŋ d͡ʑ ʌ n
ㅂㅗㄹ	p o ɭ
ㄷㅗㄲㅛ	t o k j o
ㅌㅗㅇㅅㅏㄹㅣ	tʰ o ŋ sʰ a ɾ i
ㅈㅏㅍㅖㅈㅡㅇ	t͡ɕ a pʰ j e t͡ɕ ɯ ŋ
ㅊㅓㅁ	t͡ɕʰ ʌ m
ㅂㅜㅈㅗㄱ	p u d͡ʑ o k̚
ㅈㅓㄹ	t͡ɕ ʌ ɭ
ㄷㅏㅇㄹㅠ	t a ŋ ɲ j u
ㅍㅡㅌㅔㄹㅣㄷㅣㄴ	pʰ ɯ tʰ e ɾ i d i n
ㄷㅗㄷㅜㄱ	t o d u k̚
ㅇㅜㄹ	u ɭ
ㅇㅔㅁㅣ	e m i
ㅁㅗㄷㅠㄹ	m o d j u ɭ
ㅅㅠㅇㅣㄴ	ɕʰ u i n
ㅅㅡㅇㅞㄷㅔㄴ	sʰ ɯ w e d e n
ㄱㅜㄱㅁㅜㄹ	k u ŋ m u ɭ
ㅆㅏㅇㄲㅓㅍㅜㄹ	s a ŋ k ʌ pʰ u ɭ
ㅇㅣㄹㅡㅋㅜㅊㅡㅋㅡ	i ɾ ɯ kʰ u t͡ɕʰ ɯ k x ɯ
ㅇㅏㅇㅑ	a j a
ㅂㅗㅅㅏㄹㅍㅣㄷㅏ	p o sʰ a ɭ pʰ i d a
ㅁㅏㄴㅇㅕㅂㅈㅣㅂ	m a ɲ j ʌ p̚ t͡ɕ i p̚
ㅉㅣㄴ	t͡ɕ i n
ㅇㅕㄴㄹㅏㄱㅎㅏㄷㅏ	j ʌ ɭ ɭ a kʰ a d a
ㅇㅓㄴㅈㅔ	ɘ ɲ d͡ʑ e
ㅅㅣㄱㅖ	ɕʰ i ɡ j e
ㅁㅏㅋㅔㄷㅗㄴㅣㅇㅏㅇㅓ	m a kʰ e d o n i a ʌ
ㄱㅏㅌㄷㅏ	k a t̚ t a
ㅇㅣㄴㅈㅡㅇㅎㅏㄷㅏ	i ɲ d͡ʑ ɯ ŋ ɦ a d a
ㄸㅏㄱㄷㅏㄱㅡㄹㅡㄹㅡㄸㅏㄱㄷㅏㄱㅡㄹㅡㄹㅡㅎㅏㄷㅏ	t a k̚ t a ɡ ɯ ɾ ɯ ɾ ɯ t a k̚ t a ɡ ɯ ɾ ɯ ɾ ɯ ɦ a d a
ㄱㅗㅇㅅㅡㅂ	k o ŋ sʰ ɯ p̚
ㄴㅏㅁㅇㅝㄹ	n a m w ʌ ɭ
ㄱㅟㅇㅕㅁㄷㅜㅇㅇㅣ	k ɥ i j ʌ m d u ŋ i
ㅁㅜㅈㅣㄴ	m u d͡ʑ i n
ㅅㅣㅁㅎㅏㄷㅏ	ɕʰ i m ɦ a d a
ㅇㅗㅀㅇㅏ	o ɾ a
ㅅㅏㄴㅂㅜㄹ	sʰ a n b u ɭ
ㅌㅡㄴㅌㅡㄴㅎㅏㄷㅏ	tʰ ɯ n tʰ ɯ n ɦ a d a
ㄱㅗㄴㄹㅏㄴㅎㅏㄷㅏ	k o ɭ ɭ a n ɦ a d a
ㅅㅓㅇㅈㅣㄹ	sʰ ɘ ŋ d͡ʑ i ɭ
ㄱㅜㅊㅟ	k u t͡ɕʰ ɥ i
ㅁㅏㄱㅜㄱㅏㄴ	m a ɡ u k a n
ㅇㅔㅁㅔㄹㅁㅜㅈㅣㄹㅗ	e m e ɭ m u d͡ʑ i ɾ o
ㄷㅡㄹㅇㅓㅇㅗㄷㅏ	t ɯ ɾ ʌ o d a
ㅅㅏㅁㅏㅇ	sʰ a m a ŋ
ㅍㅣㄹㅇㅛㅅㅓㅇ	pʰ i ɾ j o s ʌ ŋ
ㅌㅗㅇㄴㅏㅁㅜ	tʰ o ŋ n a m u
ㅋㅡㄹㄹㅣㅌㅗㄹㅣㅅㅡ	k x ɯ ʎ ʎ i tʰ o ɾ i sʰ ɯ
ㅇㅏㄴㅇㅘ	a n w a
ㄱㅗㅇㄹㅣ	k o ŋ n i
ㅎㅔㅇㅏㄹㅣㄷㅏ	h e a ɾ i d a
ㅋㅜㅇㅎㅜ	kʰ u ŋ β u
ㄱㅡㅁㅂㅏㄹ	k ɯ m b a ɭ
ㅇㅕㄴㄱㅣㅈㅏ	j ɘ n ɡ i d͡ʑ a
ㄷㅗㄹㄷㅡ	t o ɭ d ɯ
ㄷㅏㅁㄷㅏㅇㅎㅏㄷㅏ	t a m d a ŋ ɦ a d a
ㄲㅜㄷㅏ	k u d a
ㅂㅣㅂㅣㄷㅏ	p i b i d a
ㅇㅏㄱㅟ	a ɡ ɥ i
ㄹㅗㅆㅣㅇㅑ	ɾ o ɕ i j a
ㅅㅓㅇㅈㅏㅇㅎㅏㄷㅏ	sʰ ʌ ŋ d͡ʑ a ŋ ɦ a d a
ㅂㅜㄸㅜㅁㅏㄱ	p u t u m a k̚
ㅇㅏㅁㅅㅡㅌㅔㄹㅡㄷㅏㅁ	a m sʰ ɯ tʰ e ɾ ɯ d a m
ㄷㅐㅈㅜㄱㅛ	t ɛ d͡ʑ u ɡ j o
ㄴㅜㄴㅂㅣㅊ	n u n p i t̚
ㄱㅗㄱㅜㅁㅏ	k o ɡ u m a
ㄴㅜㄴㅇㅏㅍ	n u n a p̚
ㅁㅏㄹㅆㅓㅇㄲㅜㄹㅓㄱㅣ	m a ɭ s ʌ ŋ k u ɾ ʌ ɡ i
ㅍㅔㄹㅜ	pʰ e ɾ u
ㅂㅓㄷㅡㄹㅊㅣ	p ʌ d ɯ ʎ t͡ɕʰ i
ㄱㅘㄴㄱㅘㅇ	k w a n ɡ w a ŋ
ㅎㅏㄴㅁㅜㄴ	h a n m u n
ㅇㅣ	i
ㄲㅗㄹㅣ	k o ɾ i
ㄱㅜㅎㅗㄴ	k u β o n
ㅎㅡㄴㄷㅡㄹㄷㅏ	x ɯ n d ɯ ɭ d a
ㅂㅏㅁ	p a m
ㅈㅓㅇㅇㅡㅁ	t͡ɕ ʌ ŋ ɯ m
ㄷㅗㅊㅏㄱㅎㅏㄷㅏ	t o t͡ɕʰ a kʰ a d a
ㅂㅜㄴㅅㅓㄱㅎㅏㄷㅏ	p u n sʰ ʌ kʰ a d a
ㅊㅏㅁㅅㅜㄹㅣ	t͡ɕʰ a m sʰ u ɾ i
ㅎㅏㅁㅅㅜ	h a m s u
ㅈㅔㅂㅗ	t͡ɕ e b o
ㄴㅓㄹㅃㅏㄴㅈㅣ	n ɘ ɭ p a ɲ d͡ʑ i
ㅍㅗㅇㅗㅇㅎㅏㄷㅏ	pʰ o o ŋ ɦ a d a
ㅇㅓㄸㅓㅎㄷㅏ	ʌ t ʌ tʰ a
ㅅㅔㄱㅅㅡ	s e k s ɯ
ㅊㅚㅁㅕㄴㅅㅜㄹ	t͡ɕʰ w e m j ʌ n sʰ u ɭ
ㅅㅣㅂㄱㅜ	ɕʰ i p̚ k u
ㄷㅗㅇㄱㅡㄹ	t o ŋ ɡ ɯ ɭ
ㅂㅜㄹㄱㅏㄱㅕㄹ	p u ɭ ɡ a ɡ j ʌ ɭ
ㅍㅕㄴㄹㅣ	pʰ j ʌ ʎ ʎ i
ㄱㅘㅇㅎㅘㅁㅜㄴ	k w a ŋ β w a m u n
ㄱㅡㄴㅈㅣㄹㄱㅡㄴㅈㅣㄹㅎㅏㄷㅏ	k ɯ ɲ d͡ʑ i ɭ ɡ ɯ ɲ d͡ʑ i ɾ ɦ a d a
ㅆㅗㄱㅏㄹㅣ	s o ɡ a ɾ i
ㄷㅏㄹㅖㄴ	t a ɾ j e n
ᆸㄴㅣㄷㅏ	m n i d a
ㅌㅔㅅㅡㅌㅡ	tʰ e sʰ ɯ tʰ ɯ
ㅎㅡㄹㅡㅁ	x ɯ ɾ ɯ m
ㅎㅗㄴㅇㅑㄱ	ɸʷ o ɲ j a k̚
ㅅㅡㅍㅏㅇㅣ	sʰ ɯ pʰ a i
ㅇㅖㅃㅡㄷㅏ	j e p ɯ d a
ㅂㅗㄷㅗㅎㅏㄷㅏ	p o d o ɦ a d a
ㅇㅓㄸㅓㅎㄱㅔ	ʌ t ʌ kʰ e
ㄱㅜㄻㅈㅜㄹㅣㄷㅏ	k u m d͡ʑ u ɾ i d a
ㅎㅜㅁㅊㅣㄷㅏ	ɸʷ u m t͡ɕʰ i d a
ㄱㅔㅇㅡㄹㅡㅁ	k e ɯ ɾ ɯ m
ㄴㅜㄹㅓㅇㅇㅣ	n u ɾ ʌ ŋ i
ㄱㅐㅅㄱㅘ	k ɛ t̚ k w a
ㅇㅏㅃㅏㅌㅡ	a p a tʰ ɯ
ㅅㅏㄱㅘ	sʰ a ɡ w a
ㅁㅕㅇㄹㅕㅇㅂㅓㅂ	m j ɘ ŋ ɲ j ʌ ŋ b ʌ p̚
ㄱㅏㄹㅏㅇㅂㅣ	k a ɾ a ŋ b i
ㅈㅓㅇㅊㅣㄱㅝㄴ	t͡ɕ ʌ ŋ t͡ɕʰ i k w ʌ n
ㅅㅏㅁㅏㄱㅟ	sʰ a m a ɡ ɥ i
ㄹㅗㅁㅏㅈㅏ	ɾ o m a d͡ʑ a
ㄱㅏㅂㅗㅇ	k a b o ŋ
ㅅㅔㅈㅔ	sʰ e d͡ʑ e
ㅍㅛㅈㅜㄴ	pʰ j o d͡ʑ u n
ㅇㅓㄱㅏㅁ	ɘ ɡ a m
ㅋㅗㄴㅅㅔㅂㅌㅡ	kʰ o n sʰ e p̚ tʰ ɯ
ㄱㅡㄹㅓㅁㅡㄹㅗ	k ɯ ɾ ʌ m ɯ ɾ o
ㅂㅕㄴㅈㅓㄹ	p j ɘ ɲ d͡ʑ ʌ ɭ
ㅇㅗㄷㅔㅅㅏ	o d e sʰ a
ㅋㅏㄹㅡㅂㅗㄱㅅㅣㄹㄱㅣ	kʰ a ɾ ɯ b o k ɕ i ɭ ɡ i
ㄴㅏㅎㅡㄹ	n a ɣ ɯ ɭ
ㅁㅣㄴㅈㅜㅎㅘ	m i ɲ d͡ʑ u β w a
ㄹㅔㅅㅡㄹㄹㅣㅇ	ɾ e sʰ ɯ ʎ ʎ i ŋ
ㅎㅗㅇㅅㅜ	ɸʷ o ŋ sʰ u
ㅇㅗㄴㅊㅓㄴ	o ɲ t͡ɕʰ ʌ n
ㄹㅣㅅㅡㅂㅗㄴ	ɾ i sʰ ɯ b o n
ㅅㅡㅌㅏㄷㅣㅇㅗ	sʰ ɯ tʰ a d i o
ㅎㅏㅁㅂㅜㄹㅗ	h a m b u ɾ o
ㄴㅗㅊㅓㄴㅕ	n o t͡ɕʰ ʌ ɲ j ʌ
ㅋㅡㄹㅗㅋㅔㅅ	k x ɯ ɾ o kʰ e t̚
ㅇㅓㅍㄷㅡㄹㅣㄷㅏ	ʌ p̚ t ɯ ɾ i d a
ㅅㅔㅁㅣㅋㅗㄹㄹㅗㄴ	sʰ e m i kʰ o ɭ ɭ o n
ㅎㅏㄴㄷㅜ	h a n d u
ㅁㅓㅁㅊㅜㄷㅏ	m ʌ m t͡ɕʰ u d a
ㅈㅜㅇㄱㅓ	t͡ɕ u ŋ ɡ ʌ
ㅎㅏㄱㅈㅏ	h a k̚ t͡ɕ a
ㅁㅗㅇㅣㄷㅏ	m o i d a
ㄷㅡㅇㅈㅜㄹㅈㅟ	t ɯ ŋ d͡ʑ u ʎ d͡ʑ ɥ i
ㅅㅡㅌㅡㄹㅔㅇㅣㅌㅡ	sʰ ɯ tʰ ɯ ɾ e i tʰ ɯ
ㅊㅓㅇㅊㅜㄴ	t͡ɕʰ ʌ ŋ t͡ɕʰ u n
ㅇㅣㅃㅏㅇㅣ	i p a i
ㄱㅡㄴㅑㅇ	k ɯ ɲ j a ŋ
ㄴㅗㄴㅕㄴ	n o ɲ j ʌ n
ㅈㅓㅎㅏㅇㄱㅣ	t͡ɕ ʌ ɦ a ŋ ɡ i
ㅇㅠㄱㅏㅈㅡㅇㄱㅝㄴ	j u ɡ a d͡ʑ ɯ ŋ k w ʌ n
ㅇㅏㄹㅣㄹㅏㅇ	a ɾ i ɾ a ŋ
ㅌㅗㅇㅊㅏㄹㄹㅕㄱ	tʰ o ŋ t͡ɕʰ a ʎ ʎ j ʌ k̚
ㅅㅏㄹㅇㅏㄴㅏㅁㄷㅏ	sʰ a ɾ a n a m t a
ㅇㅏㄹㅋㅗㄹ	a ɭ kʰ o ɭ
ㅂㅜㅈㅏㄱㅇㅛㅇ	p u d͡ʑ a ɡ j o ŋ
ㅈㅓㅇㅈㅏㅇ	t͡ɕ ɘ ŋ d͡ʑ a ŋ
ㅊㅗㄴ	t͡ɕʰ o n
ㄴㅏㄴㅜㄷㅏ	n a n u d a
ㅇㅡㄹ	ɯ ɭ
ㅇㅠㅇㅣㄹ	j u i ɭ
ㅁㅏㄹㅏㅌㅗㄴ	m a ɾ a tʰ o n
ㅇㅕㅇㅣㄴㅅㅜㄱ	j ʌ i n sʰ u k̚
ㅂㅏㄴㅎㅏㅇㅎㅏㄷㅏ	p a n ɦ a ŋ ɦ a d a
ㅅㅗㄴㄱㅏㄹㅏㄱ	sʰ o n k a ɾ a k̚
ㅅㅣㄹㄹㅗㅍㅗㄴ	ɕʰ i ɭ ɭ o pʰ o n
ㅂㅏㄴㄷㅡㅅㅣ	p a n d ɯ ɕʰ i
ㅈㅣㅈㅓㅇㅎㅏㄱ	t͡ɕ i d͡ʑ ʌ ŋ ɦ a k̚
ㅁㅜㄴㅢㅁㅏㅇㄷㅜㄱ	m u n i m a ŋ d u k̚
ㅁㅗㄳ	m o k̚
ㄱㅛㅇㅚ	k j o w e
ㅇㅕㄴㅊㅔㄷㅗㅇㅁㅜㄹ	j ɘ ɲ t͡ɕʰ e d o ŋ m u ɭ
ㅎㅗㅂㅜㄱ	ɸʷ o b u k̚
ㅁㅜㄱㅣㄱㅗ	m u ɡ i ɡ o
ㄷㅓㅇㅟ	t ʌ ɥ i
ㅁㅗㅂㅏㅇㅎㅏㄷㅏ	m o b a ŋ ɦ a d a
ㅈㅏㄹㅜ	t͡ɕ a ɾ u
ㄱㅘㅇㅅㅓㄱ	k w a ŋ sʰ ʌ k̚
ㅅㅓㅁㄷㅗㄹ	sʰ ʌ m t o ɭ
ㅇㅘㅇㅎㅗㄹ	w a ŋ β o ɭ
ㄱㅗㅇㅇㅓㄴ	k o ŋ ʌ n
ㄸㅏㄹㄲㅜㄱㅈㅣㄹㅎㅏㄷㅏ	t a ɭ k u k̚ t͡ɕ i ɾ ɦ a d a
ㅅㅓㄴㅈㅣㄴㄱㅜㄱ	sʰ ʌ ɲ d͡ʑ i n ɡ u k̚
ㅈㅓㄴㅇㅕㄱ	t͡ɕ ɘ ɲ j ʌ k̚
ㅅㅡㅂㄴㅣㄲㅏ	s ɯ m n i k a
ㅋㅗㄹㄹㅗㄴ	kʰ o ɭ ɭ o n
ㅂㅣㄹㄴㅠㅅㅡ	p i ʎ ʎ j u sʰ ɯ
ㅅㅣㄹㄹㅗㄱ	ɕʰ i ɭ ɭ o k̚
ㄴㅏㅌㅡㄹㅠㅁ	n a tʰ ɯ ɾ j u m
ㅅㅛㅋㅡ	ɕʰ o k x ɯ
ㅇㅕㄴㄱㅜㅈㅏ	j ɘ n ɡ u d͡ʑ a
ㄲㅗㅁㅏ	k o m a
ㅇㅏㄱㅏ	a ɡ a
ㅂㅣㅈㅜㅇ	p i d͡ʑ u ŋ
ㅈㅏㅇㅇㅡㅁ	t͡ɕ a ŋ ɯ m
ㄱㅘㅇㅎㅗㅎㅡㅂ	k w a ŋ β o ɣ ɯ p̚
ㅇㅕㄴㅏㅁㅇㅡㄴ	j ʌ n a m ɯ n
ㅅㅗㄴㅈㅓㄴㄷㅡㅇ	sʰ o ɲ t͡ɕ ʌ n d ɯ ŋ
ㅅㅔㄱㅖㅍㅕㅇㅎㅘ	sʰ e ɡ j e pʰ j ʌ ŋ β w a
ㄸㅢㄷㅏ	t i d a
ㅊㅓㄹㅓㅁ	t͡ɕʰ ʌ ɾ ʌ m
ㄱㅓㅅㅡㄹㅓㅁㅣ	k ʌ sʰ ɯ ɾ ʌ m i
ㅊㅓㅇㅊㅓㄴㅂㅕㄱㄹㅕㄱ	t͡ɕʰ ʌ ŋ t͡ɕʰ ʌ n b j ʌ ŋ ɲ j ʌ k̚
