らち	ɾ a̠ t͡ɕ i
じき	d͡ʑ i kʲ i
プラトン	p ɯ̟ᵝ ɾ a̠ t õ̞ ɴ
ことは	k o̞ t o̞ h a̠
いぬはりこ	i n ɯ̟ᵝ h a̠ ɾʲ i k o̞
パップテスト	p a̠ p̚ p ɯ̟ᵝ t e̞ s ɨ̥ᵝ t o̞
ソムリエ	s o̞ m ɯ̟ᵝ ɾʲ i e̞
しん	h a̠ t a̠ ɕ ĩ ɴ
てきしゅ	t e̞ kʲ i ɕ ɨᵝ
てがる	t e̞ ɡ a̠ ɾ ɯ̟ᵝ
じろう	d͡ʑ i ɾ o̞ː
オナペット	o̞ n a̠ p e̞ t̚ t o̞
ぶし	b ɯ̟ᵝ ɕ i
なんこう	n ã̠ ŋ k o̞ː
はいき	h a̠ i kʲ i
もうふぶき	m o̞ː ɸ ɯ̟ᵝ b ɯ̟ᵝ kʲ i
とうへんぼく	t o̞ː h ẽ̞ m b o̞ k ɯ̟ᵝ
だいこん	d a̠ i k õ̞ ɴ
いたる	i t a̠ ɾ ɯ̟ᵝ
ねりなおす	n e̞ ɾʲ i n a̠ o̞ s ɨᵝ
はくじんしじょうしゅぎ	h a̠ k ɯ̟ᵝ ʑ ĩ ɰ̃ ɕ i ʑ o̞ː ɕ ɨᵝ ɡʲ i
ゆうしゃ	j ɯ̟ᵝː ɕ a̠
めじるし	m e̞ ʑ i ɾ ɯ̟ᵝ ɕ i
それより	s o̞ ɾ e̞ j o̞ ɾʲ i
オンパレード	õ̞ m p a̠ ɾ e̞ː d o̞
ふうそくけい	ɸ ɯ̟ᵝː s o̞ k ɯ̟ᵝ k e̞ː
エスエル	e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ
カッティング	k a̠ t̚ʲ tʲ ĩ ŋ ɡ ɯ̟ᵝ
てんはみずからたすくるものをたすく	t ẽ̞ ɰ̃ ɰᵝ a̠ mʲ i z ɨᵝ k a̠ ɾ a̠ t a̠ s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ m o̞ n o̞ o̞ t a̠ s ɨᵝ k ɯ̟ᵝ
たおんじ	t a̠ õ̞ ɲ̟ d͡ʑ i
いちじょ	i t͡ɕ i ʑ o̞
てぬかり	t e̞ n ɯ̟ᵝ k a̠ ɾʲ i
げんだい	ɡ ẽ̞ n d a̠ i
トランペット	t o̞ ɾ ã̠ m p e̞ t̚ t o̞
スペクトル	s ɨ̥ᵝ p e̞ k ɯ̟̊ᵝ t o̞ ɾ ɯ̟ᵝ
はいれつ	h a̠ i ɾ e̞ t͡s ɨᵝ
やりくり	j a̠ ɾʲ i k ɯ̟ᵝ ɾʲ i
みならう	mʲ i n a̠ ɾ a̠ ɯ̟ᵝ
ゆうしんろん	j ɯ̟ᵝː ɕ ĩ n ɾ õ̞ ɴ
しぜんてき	ɕ i z ẽ̞ n t e̞ kʲ i
スタイルシート	s ɨᵝ t a̠ i ɾ ɯ̟ᵝ ɕ iː t o̞
ようか	j o̞ː k a̠
オー	o̞ː
ハブーブ	h a̠ b ɯ̟ᵝː b ɯ̟ᵝ
ライブラリー	ɾ a̠ i b ɯ̟ᵝ ɾ a̠ ɾʲ iː
とき	t o̞ kʲ i
ついらく	t͡s ɨᵝ i ɾ a̠ k ɯ̟ᵝ
うんぬん	ɯ̟̃ᵝ nː ɯ̟̃ᵝ ɴ
ゆらす	j ɯ̟ᵝ ɾ a̠ s ɨᵝ
ふくこうかんしんけい	ɸ ɯ̟ᵝ k ɯ̟ᵝ k o̞ː k ã̠ ɰ̃ ɕ ĩ ŋ k e̞ː
まかない	m a̠ k a̠ n a̠ i
だるま	d a̠ ɾ ɯ̟ᵝ m a̠
