외할머니	w e̞ ɦ a̠ ɭ m ʌ̹ n i
밀랍	m i ɭ ɭ a̠ p̚
사랑하다	sʰ a̠ ɾ a̠ ŋ ɦ a̠ d a̠
이교	iː ɡ j o
복리	p o̞ ŋ n i
덧글	t ʌ̹ t̚ k͈ ɯ ɭ
날	n a̠ ɭ
카메룬	kʰ a̠ m e̞ ɾ u n
우간다	u ɡ a̠ n d a̠
걱정하다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
각본	k a̠ k̚ p͈ o̞ n
문어	m u n ʌ̹
본뜨다	p o̞ n t͈ ɯ d a̠
특수	tʰ ɯ k s͈ u
규칙적	k j u t͡ɕʰ i k̚ t͡ɕ͈ ʌ̹ k̚
모듬	m o̞ d ɯ m
접속	t͡ɕ ʌ̹ p s͈ o̞ k̚
주정	t͡ɕ uː d͡ʑ ʌ̹ ŋ
싱겁다	ɕʰ i ŋ ɡ ʌ̹ p̚ t͈ a̠
북괴	p u k̚ k͈ w e̞
메토끼	m e̞ tʰ o̞ k͈ i
화산학	ɸ w a̠ sʰ a̠ n ɦ a̠ k̚
너무	n ʌ̹ m u
뗀노	t͈ e̞ n n o̞
아흐레	a̠ ɣ ɯ ɾ e̞
맹세	m ɛː ŋ sʰ e̞
밀다	m i ɭ d a̠
관념	k w a̠ n ɲ j ʌ̹ m
순교	sʰ u n ɡ j o
과학자	k w a̠ ɦ a̠ k̚ t͡ɕ͈ a̠
박이	p a̠ ɡ i
잡수시다	t͡ɕ a̠ p s͈ u ɕʰ i d a̠
혼자	ɸʷ o̞ ɲ d͡ʑ a̠
뇌	n w e̞ː
라볶이	ɾ a̠ b o̞ k͈ i
익살	i k s͈ a̠ ɭ
두셋	t u sʰ e̞ t̚
그레이트브리튼	k ɯ ɾ e̞ i tʰ ɯ b ɯ ɾ i tʰ ɯ n
이기주의	iː ɡ i d͡ʑ u ɰ i
멸종	m j ʌ̹ ʎ t͡ɕ͈ o̞ ŋ
옥잠화	o̞ k̚ t͡ɕ͈ a̠ m β w a̠
업둥이	ʌ̹ p̚ t͈ u ŋ i
유리	j u ɾ i
목적론	m o̞ k̚ t͡ɕ͈ ʌ̹ ŋ n o̞ n
절다	t͡ɕ ɘː ɭ d a̠
대리석	t ɛː ɾ i sʰ ʌ̹ k̚
한꺼번에	h a̠ n k͈ ʌ̹ b ʌ̹ n e̞
특권	tʰ ɯ k̚ k͈ w ʌ̹ n
플루토늄	pʰ ɯ ɭ ɭ u tʰ o̞ ɲ j u m
관련하다	k w a̠ ʎ ʎ j ʌ̹ n ɦ a̠ d a̠
농경	n o̞ ŋ ɡ j ʌ̹ ŋ
풀오버	pʰ u ɾ o̞ b ʌ̹
페샤와르	pʰ e̞ ɕʰ a̠ w a̠ ɾ ɯ
습도	sʰ ɯ p̚ t͈ o̞
마요네즈	m a̠ j o n e̞ d͡ʑ ɯ
무중력	m u d͡ʑ u ŋ ɲ j ʌ̹ k̚
눈두덩	n u n d u d ʌ̹ ŋ
변압기	p j ʌ̹ n a̠ p̚ k͈ i
기름	k i ɾ ɯ m
외국어	w e̞ː ɡ u ɡ ʌ̹
플라스마	pʰ ɯ ɭ ɭ a̠ sʰ ɯ m a̠
브레이크	p ɯ ɾ e̞ i k x ɯ
활동적	ɸ w a̠ ɭ t͈ o̞ ŋ d͡ʑ ʌ̹ k̚
카디건	kʰ a̠ d i ɡ ʌ̹ n
가공하다	k a̠ ɡ o̞ ŋ ɦ a̠ d a̠
무사도	m u sʰ a̠ d o̞
기름사탕	k i ɾ ɯ m sʰ a̠ tʰ a̠ ŋ
나소	n a̠ sʰ o̞
실제로	ɕʰ i ʎ t͡ɕ͈ e̞ ɾ o̞
처방전	t͡ɕʰ ɘː b a̠ ŋ d͡ʑ ʌ̹ n
볼	p o̞ ɭ
도꾜	t o̞ k͈ j o
통사리	tʰ o̞ ŋ sʰ a̠ ɾ i
자폐증	t͡ɕ a̠ pʰ j e̞ t͡ɕ͈ ɯ ŋ
첨	t͡ɕʰ ʌ̹ m
부족	p u d͡ʑ o̞ k̚
절	t͡ɕ ʌ̹ ɭ
당류	t a̠ ŋ ɲ j u
프테리딘	pʰ ɯ tʰ e̞ ɾ i d i n
도둑	t o̞ d u k̚
울	u ɭ
에미	e̞ m i
모듈	m o̞ d j u ɭ
슈인	ɕʰ u i n
스웨덴	sʰ ɯ w e̞ d e̞ n
국물	k u ŋ m u ɭ
쌍꺼풀	s͈ a̠ ŋ k͈ ʌ̹ pʰ u ɭ
이르쿠츠크	i ɾ ɯ kʰ u t͡ɕʰ ɯ k x ɯ
아야	a̠ j a̠
보살피다	p o̞ sʰ a̠ ɭ pʰ i d a̠
만엽집	m a̠ ɲ j ʌ̹ p̚ t͡ɕ͈ i p̚
찐	t͡ɕ͈ i n
연락하다	j ʌ̹ ɭ ɭ a̠ kʰ a̠ d a̠
언제	ɘː ɲ d͡ʑ e̞
시계	ɕʰ iː ɡ j e̞
마케도니아어	m a̠ kʰ e̞ d o̞ n i a̠ ʌ̹
같다	k a̠ t̚ t͈ a̠
인증하다	i ɲ d͡ʑ ɯ ŋ ɦ a̠ d a̠
딱다그르르딱다그르르하다	t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ ɦ a̠ d a̠
공습	k o̞ ŋ sʰ ɯ p̚
남월	n a̠ m w ʌ̹ ɭ
귀염둥이	k ɥ iː j ʌ̹ m d u ŋ i
무진	m u d͡ʑ i n
심하다	ɕʰ iː m ɦ a̠ d a̠
옳아	o̞ ɾ a̠
산불	sʰ a̠ n b u ɭ
튼튼하다	tʰ ɯ n tʰ ɯ n ɦ a̠ d a̠
곤란하다	k o̞ː ɭ ɭ a̠ n ɦ a̠ d a̠
성질	sʰ ɘː ŋ d͡ʑ i ɭ
구취	k u t͡ɕʰ ɥ i
마구간	m a̠ː ɡ u k͈ a̠ n
